video_id	video_title	question_id	behaviour	question
5J3tYU_-IZI	A Once-in-a-Century Proof: The Kakeya Conjecture	KAK-01	Triage	Is this video worth 15 minutes of my attention, or can I get its genuinely important ideas from a short explanation? Tell me what depth it offers beyond mathematical spectacle.
5J3tYU_-IZI	A Once-in-a-Century Proof: The Kakeya Conjecture	KAK-02	Learn	Explain the Kakeya conjecture and why this proof matters in Feynman-style language, without assuming that I know advanced mathematics.
5J3tYU_-IZI	A Once-in-a-Century Proof: The Kakeya Conjecture	KAK-03	Evidence boundary	What does the video say has actually been proved, and what remains conjectural, uncertain, or outside the result?
5J3tYU_-IZI	A Once-in-a-Century Proof: The Kakeya Conjecture	KAK-04	Depth test	Which parts contain substantive mathematical ideas, and which parts are primarily analogy, history, or dramatic framing?
5J3tYU_-IZI	A Once-in-a-Century Proof: The Kakeya Conjecture	KAK-05	Learn	What were the central obstacles to the proof, and what conceptual move reportedly overcame them?
5J3tYU_-IZI	A Once-in-a-Century Proof: The Kakeya Conjecture	KAK-06	Project lens	Are there transferable lessons here for how I design difficult research projects, especially around decomposing problems, constructing evidence, or changing representations?
5J3tYU_-IZI	A Once-in-a-Century Proof: The Kakeya Conjecture	KAK-07	Apply	Give me one bounded research practice inspired by the video that I could genuinely try, while clearly separating the source's mathematics from your analogy to my work.
5J3tYU_-IZI	A Once-in-a-Century Proof: The Kakeya Conjecture	KAK-08	Negative control	What tempting lessons should I not take from this video because the source does not support them or because the analogy to my projects would be too weak?
5J3tYU_-IZI	A Once-in-a-Century Proof: The Kakeya Conjecture	KAK-09	Find	Find the exact moment where the video most clearly states the problem being solved, and give me the smallest excerpt needed to understand it.
5J3tYU_-IZI	A Once-in-a-Century Proof: The Kakeya Conjecture	KAK-10	Find	Find the moment that best explains what made the new proof possible, or say explicitly if the transcript never provides a concrete explanation.
mHG7K7QmQyU	So I've been using gpt-5.6 for awhile...	GPT-01	Triage	Is this mostly a personal setup tour, or does it contain durable lessons that would materially improve how I use GPT-5.6 Sol?
mHG7K7QmQyU	So I've been using gpt-5.6 for awhile...	GPT-02	Learn	What is his actual GPT-5.6 workflow? Separate model settings, prompting habits, tool setup, task selection, and subjective preferences.
mHG7K7QmQyU	So I've been using gpt-5.6 for awhile...	GPT-03	Apply	Which parts of his setup could we directly adopt, which need adapting to my Codex-led projects, and which are irrelevant or harmful in my context?
mHG7K7QmQyU	So I've been using gpt-5.6 for awhile...	GPT-04	Project lens	How should I change my use of GPT-5.6 Sol across my main research and software projects based on the strongest supported lessons in this video?
mHG7K7QmQyU	So I've been using gpt-5.6 for awhile...	GPT-05	Contextual audit	Compare the video's advice with my recent local Codex logs. Identify three places where I definitely used GPT-5.6 inefficiently, citing both the relevant video moment and the local evidence.
mHG7K7QmQyU	So I've been using gpt-5.6 for awhile...	GPT-06	Before and after	Show concrete before-and-after versions of two of my real prompts or agent workflows that would improve if we followed the video's advice.
mHG7K7QmQyU	So I've been using gpt-5.6 for awhile...	GPT-07	Evidence boundary	Which recommendations does he demonstrate or support with examples, and which are merely personal assertions that we should not treat as general rules?
mHG7K7QmQyU	So I've been using gpt-5.6 for awhile...	GPT-08	Experiment	Design the smallest reversible experiment for testing the most promising change from his setup, including what success and failure would look like.
mHG7K7QmQyU	So I've been using gpt-5.6 for awhile...	GPT-09	Find	Find the exact moment where he gives the most consequential recommendation for using GPT-5.6, and explain why that moment matters.
mHG7K7QmQyU	So I've been using gpt-5.6 for awhile...	GPT-10	Negative control	What optimisations might someone infer from this video that he never actually recommends or supports? Do not fill gaps using general GPT advice.
mBePcvqLX88	Graph Engineering explained in 8min..	GRF-01	Triage	Is graph engineering a substantive idea worth my attention, or mostly a new label for familiar engineering practices?
mBePcvqLX88	Graph Engineering explained in 8min..	GRF-02	Learn	Explain graph engineering to me Feynman-style using one concrete example connected to the kinds of agent systems I build.
mBePcvqLX88	Graph Engineering explained in 8min..	GRF-03	Depth test	What precise problem does graph engineering claim to solve, and what mechanism distinguishes it from ordinary software or workflow engineering?
mBePcvqLX88	Graph Engineering explained in 8min..	GRF-04	Evidence boundary	Which claims in the video are demonstrated, which are argued, and which are asserted without enough support?
mBePcvqLX88	Graph Engineering explained in 8min..	GRF-05	Project lens	Looking across my main projects, where would this idea genuinely increase leverage, and where would it merely introduce abstraction and complexity?
mBePcvqLX88	Graph Engineering explained in 8min..	GRF-06	Apply	Choose the single best-fitting current project and show one small before-and-after design that applies the video's strongest useful idea.
mBePcvqLX88	Graph Engineering explained in 8min..	GRF-07	Experiment	What bounded experiment could test whether graph engineering improves agent reliability or research quality without committing us to a new framework?
mBePcvqLX88	Graph Engineering explained in 8min..	GRF-08	Skill design	Is there a repeatable behaviour here that deserves becoming an agent skill for one of my projects? If not, say why a skill would be premature.
mBePcvqLX88	Graph Engineering explained in 8min..	GRF-09	Find	Find the exact moment where graph engineering is defined most concretely, and return the minimum surrounding context required to interpret it.
mBePcvqLX88	Graph Engineering explained in 8min..	GRF-10	Negative control	What failure modes, trade-offs, or limitations should I care about? Distinguish limitations stated by the creator from risks you infer yourself.
